parameter,shape,volume,sparse volume,sparsity level
_conv_stem.weight,"(32, 3, 3, 3)",864,864,0.0
_blocks.0._depthwise_conv.weight,"(32, 1, 3, 3)",288,288,0.0
_blocks.0._se_reduce.weight,"(8, 32, 1, 1)",256,256,0.0
_blocks.0._se_expand.weight,"(32, 8, 1, 1)",256,256,0.0
_blocks.0._project_conv.weight,"(16, 32, 1, 1)",512,512,0.0
_blocks.1._expand_conv.weight,"(96, 16, 1, 1)",1536,1536,0.0
_blocks.1._depthwise_conv.weight,"(96, 1, 3, 3)",864,864,0.0
_blocks.1._se_reduce.weight,"(4, 96, 1, 1)",384,384,0.0
_blocks.1._se_expand.weight,"(96, 4, 1, 1)",384,384,0.0
_blocks.1._project_conv.weight,"(24, 96, 1, 1)",2304,2304,0.0
_blocks.2._expand_conv.weight,"(144, 24, 1, 1)",3456,3456,0.0
_blocks.2._depthwise_conv.weight,"(144, 1, 3, 3)",1296,1296,0.0
_blocks.2._se_reduce.weight,"(6, 144, 1, 1)",864,864,0.0
_blocks.2._se_expand.weight,"(144, 6, 1, 1)",864,864,0.0
_blocks.2._project_conv.weight,"(24, 144, 1, 1)",3456,3456,0.0
_blocks.3._expand_conv.weight,"(144, 24, 1, 1)",3456,3456,0.0
_blocks.3._depthwise_conv.weight,"(144, 1, 5, 5)",3600,3600,0.0
_blocks.3._se_reduce.weight,"(6, 144, 1, 1)",864,864,0.0
_blocks.3._se_expand.weight,"(144, 6, 1, 1)",864,864,0.0
_blocks.3._project_conv.weight,"(40, 144, 1, 1)",5760,5760,0.0
_blocks.4._expand_conv.weight,"(240, 40, 1, 1)",9600,9600,0.0
_blocks.4._depthwise_conv.weight,"(240, 1, 5, 5)",6000,6000,0.0
_blocks.4._se_reduce.weight,"(10, 240, 1, 1)",2400,2400,0.0
_blocks.4._se_expand.weight,"(240, 10, 1, 1)",2400,2400,0.0
_blocks.4._project_conv.weight,"(40, 240, 1, 1)",9600,9600,0.0
_blocks.5._expand_conv.weight,"(240, 40, 1, 1)",9600,9600,0.0
_blocks.5._depthwise_conv.weight,"(240, 1, 3, 3)",2160,2160,0.0
_blocks.5._se_reduce.weight,"(10, 240, 1, 1)",2400,2400,0.0
_blocks.5._se_expand.weight,"(240, 10, 1, 1)",2400,2400,0.0
_blocks.5._project_conv.weight,"(80, 240, 1, 1)",19200,19200,0.0
_blocks.6._expand_conv.weight,"(480, 80, 1, 1)",38400,38400,0.0
_blocks.6._depthwise_conv.weight,"(480, 1, 3, 3)",4320,4320,0.0
_blocks.6._se_reduce.weight,"(20, 480, 1, 1)",9600,9600,0.0
_blocks.6._se_expand.weight,"(480, 20, 1, 1)",9600,9600,0.0
_blocks.6._project_conv.weight,"(80, 480, 1, 1)",38400,38400,0.0
_blocks.7._expand_conv.weight,"(480, 80, 1, 1)",38400,38400,0.0
_blocks.7._depthwise_conv.weight,"(480, 1, 3, 3)",4320,4320,0.0
_blocks.7._se_reduce.weight,"(20, 480, 1, 1)",9600,9600,0.0
_blocks.7._se_expand.weight,"(480, 20, 1, 1)",9600,9600,0.0
_blocks.7._project_conv.weight,"(80, 480, 1, 1)",38400,38400,0.0
_blocks.8._expand_conv.weight,"(480, 80, 1, 1)",38400,38400,0.0
_blocks.8._depthwise_conv.weight,"(480, 1, 5, 5)",12000,12000,0.0
_blocks.8._se_reduce.weight,"(20, 480, 1, 1)",9600,9600,0.0
_blocks.8._se_expand.weight,"(480, 20, 1, 1)",9600,9600,0.0
_blocks.8._project_conv.weight,"(112, 480, 1, 1)",53760,53760,0.0
_blocks.9._expand_conv.weight,"(672, 112, 1, 1)",75264,75264,0.0
_blocks.9._depthwise_conv.weight,"(672, 1, 5, 5)",16800,16800,0.0
_blocks.9._se_reduce.weight,"(28, 672, 1, 1)",18816,18816,0.0
_blocks.9._se_expand.weight,"(672, 28, 1, 1)",18816,18816,0.0
_blocks.9._project_conv.weight,"(112, 672, 1, 1)",75264,75264,0.0
_blocks.10._expand_conv.weight,"(672, 112, 1, 1)",75264,75264,0.0
_blocks.10._depthwise_conv.weight,"(672, 1, 5, 5)",16800,16800,0.0
_blocks.10._se_reduce.weight,"(28, 672, 1, 1)",18816,18816,0.0
_blocks.10._se_expand.weight,"(672, 28, 1, 1)",18816,18816,0.0
_blocks.10._project_conv.weight,"(112, 672, 1, 1)",75264,75264,0.0
_blocks.11._expand_conv.weight,"(672, 112, 1, 1)",75264,75264,0.0
_blocks.11._depthwise_conv.weight,"(672, 1, 5, 5)",16800,16800,0.0
_blocks.11._se_reduce.weight,"(28, 672, 1, 1)",18816,18816,0.0
_blocks.11._se_expand.weight,"(672, 28, 1, 1)",18816,18816,0.0
_blocks.11._project_conv.weight,"(192, 672, 1, 1)",129024,129024,0.0
_blocks.12._expand_conv.weight,"(1152, 192, 1, 1)",221184,221184,0.0
_blocks.12._depthwise_conv.weight,"(1152, 1, 5, 5)",28800,28800,0.0
_blocks.12._se_reduce.weight,"(48, 1152, 1, 1)",55296,55296,0.0
_blocks.12._se_expand.weight,"(1152, 48, 1, 1)",55296,55296,0.0
